Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
E.E. R.E.D. Division Azamgarh,R.E.D. Department Viakas Bhawan Azamgarh,Interlocking work from the pitch road to Dalsingar Yadav house in village Sikandarpur Block Mirzapur-57,Interlocking work from the pitch road to Dalsingar Yadav house in village Sikandarpur Block Mirzapur-57,Please Refer Tender Document ,NA ,"13,27,000",Civil Works,NA ,Tender,90.0,90.0,AZAMGARH,276001.0,NA ,NA ,NA ,AZAMGARH,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE AZAMGARH,2172/RED/Tender/ST/2025-26 Dt 28.03.2026,2026_REDUP_1143304_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"1,106",Nil,Nil,No,29-Apr-2026 04:00 PM,06-May-2026 01:00 PM,29-Apr-2026 04:00 PM,06-May-2026 12:00 PM,29-Apr-2026 04:00 PM ,06-May-2026 12:00 PM ,29-Apr-2026 04:00 PM,06-May-2026 12:00 PM,15-May-2026 12:00 PM,1.0,Fee/PreQual/Technical,.pdf,DD and EMD,"27,000",No,fixed,,Nil,Nil,1.0,SBI Bank,AOC,Executive Engineer,Internal,DAO AE,MANOJ KUMAR SINGH,12-May-2026 07:28 PM,15-May-2026 12:00 PM,techsummary_2135505.pdf (1513.46 KB),Finance,FIN,MANOJ KUMAR SINGH,23-Jun-2026 05:26 PM,,BOQ Comparative Chart,Executive Engineer,Internal,DAO AE,MANOJ KUMAR SINGH,23-Jun-2026 05:28 PM,finsummary_2135505.pdf (1513.46 KB),Technical,TEC,MANOJ KUMAR SINGH,12-May-2026 07:02 PM,technical_2135505.pdf,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE AZAMGARH,2026_REDUP_1143304_1,2172/RED/Tender/ST/2025-26 Dt 28.03.2026,Interlocking work from the pitch road to Dalsingar Yadav house in village Sikandarpur Block Mirzapur-57,1.0,6082763.0,ISDEV YADAV,INR,"1,124,312.21",1.0,6082763.0,ISDEV YADAV,02-May-2026 12:19 PM,Accepted-AOC,Lowest Rate,23-Jun-2026 05:30 PM,23-Jun-2026,"INR 1,124,312.21",90.0,MANOJ KUMAR SINGH,23-Jun-2026 05:30 PM,isdev1.pdf (432.00 KB),Date of Start Date of Comp,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Document,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6083193.0,M/s Vidya Construction and Supplier,02-May-2026 01:26 PM,Rejected-AOC,Highest Rate,23-Jun-2026 05:30 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FinancialDocument,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
