EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"59,000",No,fixed,,Nil,Nil,1.0,SBI Bank,eeredallahabad,eeredallahabad,1.0,Fee/PreQual/Technical,.pdf,pdf,1.0,Corrigendum date,Date,,04-May-2026 06:55 PM,14-May-2026 02:00 PM,04-May-2026 06:55 PM,13-May-2026 05:00 PM,NA ,NA ,04-May-2026 06:55 PM,13-May-2026 05:00 PM,02-Jun-2026 01:00 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,Notice No. 17 date 06-04-2026,2026_REDUP_1145236_9,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,500",Nil,Nil,No,Construction of Road at Gram Naini ward 47 me kanela charaha se aage Pappu sharma ke ghar tak,Construction of Road at Gram Naini ward 47 me kanela charaha se aage Pappu sharma ke ghar tak,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,NA ,eeredallahabad,211002.0,NA ,NA ,NA ,eeredallahabad,No ,No,AOC,Er SP Mishra,Internal,Er DP Mishra,Satyaprakash Mishra,30-May-2026 04:43 PM,02-Jun-2026 01:00 PM,techsummary_2140610.pdf (796.83 KB),Finance,d,Satyaprakash Mishra,12-Jun-2026 06:20 PM,,BOQ Comparative Chart,Er SP Mishra,Internal,Er DP Mishra,Satyaprakash Mishra,12-Jun-2026 06:41 PM,finsummary_2140610.pdf (487.02 KB),Technical,d,Satyaprakash Mishra,19-May-2026 05:33 PM,,1,6098198,M/S SURESH KUMAR YADAV,12-May-2026 03:11 PM,Rejected-Finance,Higher,12-Jun-2026 06:41 PM,1.0,6096346.0,NARAYAN CONSTRUCTION,INR,"2,921,162.98",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,2026_REDUP_1145236_9,Notice No. 17 date 06-04-2026,Construction of Road at Gram Naini ward 47 me kanela charaha se aage Pappu sharma ke ghar tak,18-Jun-2026,"INR 2,921,162.98",90.0,Satyaprakash Mishra,18-Jun-2026 02:32 PM,698.pdf (647.00 KB),AWARD OF CONTRACT,AOC
,,,,,,,,,,2.0,Finance,.xls,xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6096346,NARAYAN CONSTRUCTION,12-May-2026 11:15 AM,Accepted-AOC,accepted,18-Jun-2026 02:32 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,6105763,SRI MANVENDRA PRATAP SINGH,11-May-2026 12:25 PM,Rejected-Technical,Non Responsive,30-May-2026 04:43 PM,,,,,,,,,,,,,,,,,AOC
