Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Category,Sub Category,Sub Category Description,Format/File,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Category,Sub Category,Sub Category Description,Format/File,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No.3,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.4,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.5,Bid Number.2,Bidder Name.2,Value,Rank,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender ID :,Tender Ref No :,Tender Title :
Chief Engineer Agra Zone PWD Agra UP||MAINPURI CIRCLE PWD MAINPURI||CONSTRUCTION DIVISION PWD MAINPURI,2383 dt 03.10.2019,2019_CEAGR_394115_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.jpg,Technical bid,19-Oct-2019 10:00 AM,31-Oct-2019 12:30 PM,19-Oct-2019 10:00 AM,30-Oct-2019 12:00 PM,19-Oct-2019 10:00 AM ,26-Oct-2019 12:00 PM ,19-Oct-2019 10:00 AM,30-Oct-2019 12:00 PM,07-Nov-2019 12:30 PM,"1,50,000",Yes,fixed,,EE,PD PWD MAINPURI,1.0,time,Date,,1.0,BIS /Mfg lic /Dealership ,BIS registration for the items specified as ISI marked ,BIS registration for the items specified as ISI marked ,,1.0,SBI Bank,944.0,EE,PD PWD MAINPURI,No,EE,PD PWD Mainpuri,Pot holes and patch repair on ODR Roads in Kishni and Sultanganj Block distt. mainpuri,Pot holes and patch repair on ODR Roads in Kishni and Sultanganj Block distt. mainpuri,Please refer Tender documents. ,NA ,"15,00,000",Civil Works,NA ,Tender,90.0,360.0,Pot holes and patch repair on ODR Roads in Kishni,205001.0,Mainpuri ,PD PWD Mainpuri ,24-Oct-2019 12:00 PM ,Mainpuri,No ,No,Chief Engineer Agra Zone PWD Agra UP||MAINPURI CIRCLE PWD MAINPURI||CONSTRUCTION DIVISION PWD MAINPURI,2383 dt 03.10.2019,2019_CEAGR_394115_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.jpg,Technical bid,19-Oct-2019 10:00 AM,31-Oct-2019 12:30 PM,19-Oct-2019 10:00 AM,30-Oct-2019 12:00 PM,19-Oct-2019 10:00 AM ,26-Oct-2019 12:00 PM ,19-Oct-2019 10:00 AM,30-Oct-2019 12:00 PM,07-Nov-2019 12:30 PM,"1,50,000",Yes,fixed,,EE,PD PWD MAINPURI,1.0,time,Date,,1.0,BIS /Mfg lic /Dealership ,BIS registration for the items specified as ISI marked ,BIS registration for the items specified as ISI marked ,,1.0,SBI Bank,944.0,EE,PD PWD MAINPURI,No,EE,PD PWD Mainpuri,Pot holes and patch repair on ODR Roads in Kishni and Sultanganj Block distt. mainpuri,Pot holes and patch repair on ODR Roads in Kishni and Sultanganj Block distt. mainpuri,Please refer Tender documents. ,NA ,"15,00,000",Civil Works,NA ,Tender,90.0,360.0,Pot holes and patch repair on ODR Roads in Kishni,205001.0,Mainpuri ,PD PWD Mainpuri ,24-Oct-2019 12:00 PM ,Mainpuri,No ,No,14-Jan-2020,"INR 1,495,500",360.0,Anil Kumar,14-Jan-2020 07:41 PM,accptenckishnisultanganj14020.pdf (230.00 KB),1.0,1428310.0,Vijay Pratap,INR,"1,361,054.55",1.0,1424170.0,M/S GIRISH CHANDRA PANDEY,23-Oct-2019 02:16 AM,Rejected-AOC,2nd lowest,14-Jan-2020 07:41 PM,Finance,Financial bid open,Anil Kumar,14-Jan-2020 07:38 PM,finance_571108.pdf,BOQ Comparative Chart,EE,Internal,EE EE,Anil Kumar,14-Jan-2020 07:40 PM,finsummary_571108.pdf (230.04 KB),1.0,1424170.0,M/S GIRISH CHANDRA PANDEY,"14,20,874.55",L2,Technical,Technical bid open,Anil Kumar,06-Nov-2019 07:31 PM,technical_571108.pdf,EE,Internal,EE EE,Anil Kumar,06-Nov-2019 07:33 PM,07-Nov-2019 12:30 PM,techsummary_571108.pdf (201.68 KB),,,
,,,,,,,,,,,,,,2.0,Finance,.xls,Financial bid,,,,,,,,,,,,,,,,,,,,2.0,BIS /Mfg lic /Dealership ,Manufacturing license / registration certificate -for Manufacturer ,Manufacturing license / registration certificate -for Manufacturer ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial bid,,,,,,,,,,,,,,,,,,,,2.0,BIS /Mfg lic /Dealership ,Manufacturing license / registration certificate -for Manufacturer ,Manufacturing license / registration certificate -for Manufacturer ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1428310.0,Vijay Pratap,26-Oct-2019 11:50 AM,Accepted-AOC,1st lowest,14-Jan-2020 07:41 PM,,,,,,,,,,,,,2.0,1428310.0,Vijay Pratap,"13,61,054.55",L1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,BIS /Mfg lic /Dealership ,Dealership certificate of manufacturer for the items Where Dealers are eligible to Bid ,Dealership certificate of manufacturer for the items Where Dealers are eligible to Bid ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,BIS /Mfg lic /Dealership ,Dealership certificate of manufacturer for the items Where Dealers are eligible to Bid ,Dealership certificate of manufacturer for the items Where Dealers are eligible to Bid ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,BIS /Mfg lic /Dealership ,Trade license / registration certificate and Manufacturing Licence of principal Firm - For Dealer ,Trade license / registration certificate and Manufacturing Licence of principal Firm - For Dealer ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,BIS /Mfg lic /Dealership ,Trade license / registration certificate and Manufacturing Licence of principal Firm - For Dealer ,Trade license / registration certificate and Manufacturing Licence of principal Firm - For Dealer ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,DNIT Documents ,DNIT ,Digitally Signed Terms Condition and Specfication ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,DNIT Documents ,DNIT ,Digitally Signed Terms Condition and Specfication ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Experience/ mfg. capacity ,Authentic document in support of experience of supplying Tendered item during last financial year ,Authentic document in support of experience of supplying Tendered item during last financial year ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Experience/ mfg. capacity ,Authentic document in support of experience of supplying Tendered item during last financial year ,Authentic document in support of experience of supplying Tendered item during last financial year ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Experience/ mfg. capacity ,Documents on manufacturing capacity of the unit ,Documents on manufacturing capacity of the unit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Experience/ mfg. capacity ,Documents on manufacturing capacity of the unit ,Documents on manufacturing capacity of the unit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Experience/ mfg. capacity ,Performance Certificates of the Supplied Items/Works/Services for previous years ,Performance Certificates of the Supplied Items/Works/Services for previous years ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Experience/ mfg. capacity ,Performance Certificates of the Supplied Items/Works/Services for previous years ,Performance Certificates of the Supplied Items/Works/Services for previous years ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
