Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.3,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.4,Bid Number.2,Bidder Name.2,Value,Rank,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender ID :,Tender Ref No :,Tender Title :
UP STATE WAREHOUSING CORPORATION,20190810125.0,2019_UPSWC_400979_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,07-Nov-2019 05:00 PM,25-Nov-2019 11:00 AM,07-Nov-2019 05:00 PM,23-Nov-2019 05:00 PM,NA ,NA ,07-Nov-2019 05:00 PM,23-Nov-2019 05:00 PM,11-Dec-2019 11:00 AM,"1,02,300",No,fixed,,U.P State warehousing corporation,Lucknow,1.0,Corrigendum-1,Other,,1.0,RTGS - RTGS Payment,"1,180",U.P State warehousing corporation,Lucknow,No,Managing Director UPSWC,U.P State warehousing corporation New Hyderabad Lucknow 226007,Repair of UPSWC godowns at Ghazipur,Repair of UPSWC godowns at Ghazipur,Only registered contractor with UPSWC can apply  ,NA ,"51,14,076",Civil Works,Maintenance /Construction Work ,Tender,120.0,180.0,Ghazipur,233001.0,NA ,NA ,NA ,Head Office UPSWC,No ,No,UP STATE WAREHOUSING CORPORATION,20190810125.0,2019_UPSWC_400979_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,07-Nov-2019 05:00 PM,25-Nov-2019 11:00 AM,07-Nov-2019 05:00 PM,23-Nov-2019 05:00 PM,NA ,NA ,07-Nov-2019 05:00 PM,23-Nov-2019 05:00 PM,11-Dec-2019 11:00 AM,"1,02,300",No,fixed,,U.P State warehousing corporation,Lucknow,1.0,Corrigendum-1,Other,,1.0,RTGS - RTGS Payment,"1,180",U.P State warehousing corporation,Lucknow,No,Managing Director UPSWC,U.P State warehousing corporation New Hyderabad Lucknow 226007,Repair of UPSWC godowns at Ghazipur,Repair of UPSWC godowns at Ghazipur,Only registered contractor with UPSWC can apply  ,NA ,"51,14,076",Civil Works,Maintenance /Construction Work ,Tender,120.0,180.0,Ghazipur,233001.0,NA ,NA ,NA ,Head Office UPSWC,No ,No,08-Jan-2020,"INR 4,346,964.65",180.0,Binod Kumar Mishra,08-Jan-2020 11:42 AM,ghazipur.pdf (186.00 KB),After lottery System M/S SHRI JI CONTRACTORS is selected for performing this work tender,1.0,1471287.0,M/S SHRI JI CONTRACTORS,INR,"4,346,964.65",1.0,1471196.0,Aasha Enterprises,23-Nov-2019 02:40 PM,Rejected-AOC,Not Selected from lottery System,08-Jan-2020 11:42 AM,Finance,"Financial Bid Result, whose lottery will be held on 19.12.2019 at 11 AM",Binod Kumar Mishra,17-Dec-2019 12:35 PM,finance_582256.pdf,BOQ Comparative Chart,Tribhuvan Nath Maurya,Internal,"Sreesh Kumar Pandey,Manoj Kumar Singh,Binod Kumar Mishra",Binod Kumar Mishra,17-Dec-2019 04:31 PM,finsummary_582256.pdf (158.02 KB),1.0,1464877.0,M/S SHIVA ASSOCIATES,"43,46,964.65",1.0,Technical,Technical Bid Result,Binod Kumar Mishra,06-Dec-2019 11:00 AM,technical_582256.pdf,Tribhuvan Nath Maurya,Internal,"Sreesh Kumar Pandey,Manoj Kumar Singh,Vinod Kumar Mishra",Binod Kumar Mishra,06-Dec-2019 04:38 PM,11-Dec-2019 11:00 AM,techsummary_582256.pdf (156.73 KB),,,
,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1469620.0,Ankur Constructions,22-Nov-2019 06:05 PM,Rejected-AOC,Not Selected from lottery System,08-Jan-2020 11:42 AM,,,,,,,,,,,,,2.0,1467142.0,M/S YASH ENTERPRISES,"43,46,964.65",1.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1470532.0,AVADH KAARYA SOLUTIONS LLP,23-Nov-2019 09:21 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,06-Dec-2019 11:00 AM,,,,,,,,,,,,,3.0,1467227.0,M/S KRISHNA ENTERPRISES,"43,46,964.65",1.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1469075.0,BIJNOR CONSTRUCTION and SUPPLIERS,22-Nov-2019 02:23 PM,Rejected-AOC,Not Selected from lottery System,08-Jan-2020 11:42 AM,,,,,,,,,,,,,4.0,1467987.0,SHRI FAHEEMUDDIN,"43,46,964.65",1.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1463196.0,M/S G.M. CONSTRUCTION,19-Nov-2019 03:02 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,06-Dec-2019 11:00 AM,,,,,,,,,,,,,5.0,1468155.0,shuev construction,"43,46,964.65",1.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1467227.0,M/S KRISHNA ENTERPRISES,21-Nov-2019 05:37 PM,Rejected-AOC,Not Selected from lottery System,08-Jan-2020 11:42 AM,,,,,,,,,,,,,6.0,1469075.0,BIJNOR CONSTRUCTION and SUPPLIERS,"43,46,964.65",1.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1464877.0,M/S SHIVA ASSOCIATES,20-Nov-2019 04:15 PM,Rejected-AOC,Not Selected from lottery System,08-Jan-2020 11:42 AM,,,,,,,,,,,,,7.0,1469620.0,Ankur Constructions,"43,46,964.65",1.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1471287.0,M/S SHRI JI CONTRACTORS,23-Nov-2019 03:23 PM,Accepted-AOC,Selected from lottery System,08-Jan-2020 11:42 AM,,,,,,,,,,,,,8.0,1470246.0,STAR BUILDERS,"43,46,964.65",1.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1467142.0,M/S YASH ENTERPRISES,21-Nov-2019 05:10 PM,Rejected-AOC,Not Selected from lottery System,08-Jan-2020 11:42 AM,,,,,,,,,,,,,9.0,1471196.0,Aasha Enterprises,"43,46,964.65",1.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1467987.0,SHRI FAHEEMUDDIN,22-Nov-2019 12:20 AM,Rejected-AOC,Not Selected from lottery System,08-Jan-2020 11:42 AM,,,,,,,,,,,,,10.0,1471287.0,M/S SHRI JI CONTRACTORS,"43,46,964.65",1.0,,,,,,,,,,,,,,,
