Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Category,Sub Category,Sub Category Description,Format/File,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell East)||Superintending Engineer (Tubewell) Faizabad,02/SE/LID AYO/23-24,2024_UPIDM_904297_1,Yes,Open Tender,Piece-work,Works,2.0,No,Yes,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL BID,24-Feb-2024 11:00 AM,05-Mar-2024 04:00 PM,24-Feb-2024 11:00 AM,05-Mar-2024 03:00 PM,24-Feb-2024 11:00 AM ,05-Mar-2024 03:00 PM ,24-Feb-2024 11:00 AM,05-Mar-2024 03:00 PM,07-Mar-2024 06:00 PM,"1,46,000",Yes,fixed,,Nil,Nil,1.0,date extension.,Date,,1,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,1.0,SBI Bank,354.0,Nil,Nil,No,SUPERINTENDING ENGINEER TWC AYODHYA,OFFICE OF SUPERINTENDING ENGINEER TWC AYODHYA,SITC HIGH MAST,SITC HIGH MAST,AS PER TENDER DOCUMENT ,NA ,"85,82,140",Electrical Works,SITC HIGH MAST ,Tender,90.0,25.0,"AYODHYA PUMP CANAL ,VIKRAMJOT ,BASTI",272001.0,NA ,NA ,NA ,OFFICE OF SUPERINTENDING ENGINEER TWC AYODHYA,No ,No,AOC,15-Mar-2024,"INR 7,245,000",25.0,PANKAJ KUMAR VERMA,26-Mar-2024 12:00 PM,aochighmast.pdf (658.00 KB),lowest rate quoted,1.0,4264304.0,Actech Engineers,INR,"7,245,000",1.0,4264304.0,Actech Engineers,04-Mar-2024 05:59 PM,Accepted-AOC,lowest rate quoted,26-Mar-2024 12:00 PM,Finance,FINANCIA BID OPENED,PANKAJ KUMAR VERMA,07-Mar-2024 06:16 PM,,BOQ Comparative Chart,PANKAJ KUMAR VERMA,Internal,EXECUTIVE ENGINEER LID AYODHYA,PANKAJ KUMAR VERMA,07-Mar-2024 07:06 PM,finsummary_1558182.pdf (342.67 KB),U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell East)||Superintending Engineer (Tubewell) Faizabad,2024_UPIDM_904297_1,02/SE/LID AYO/23-24,SITC HIGH MAST,Technical,technical bid opened,PANKAJ KUMAR VERMA,07-Mar-2024 05:42 PM,technical_1558182.pdf,PANKAJ KUMAR VERMA,Internal,EXECUTIVE ENGINEER LID AYODHAY,PANKAJ KUMAR VERMA,07-Mar-2024 05:50 PM,07-Mar-2024 06:00 PM,techsummary_1558182.pdf (342.67 KB),AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,2,DNIT Documents ,DNIT ,Digitally Signed Terms Condition and Specfication ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2.0,4269513.0,Jaiswal Electrical Stores,05-Mar-2024 12:09 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,07-Mar-2024 05:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Experience/ mfg. capacity ,Documents on manufacturing capacity of the unit ,Documents on manufacturing capacity of the unit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3.0,4266346.0,SHIPRA SALES & SERVICES PRIVATE LIMITED,04-Mar-2024 08:33 PM,Rejected-Finance,HIGHER RATE QUOTED,07-Mar-2024 07:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Experience/ mfg. capacity ,Performance Certificates of the Supplied Items/Works/Services for previous years ,Performance Certificates of the Supplied Items/Works/Services for previous years ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Local SSI documents ,Registration of Industry Department for local SSI unit to manufacture the tendered item if required. ,Registration of Industry Department for local SSI unit to manufacture the tendered item if required. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Misc. document ,Power of attorney in favour of local agent mandatory. ,Power of attorney in favour of local agent mandatory. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Misc. document ,Any other document ,Any other document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Tax related documents ,PAN card ,PAN card ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
