Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No.1,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.3,Bid Number.2,Bidder Name.2,Value,Rank,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender ID :,Tender Ref No :,Tender Title :
Directorate of Local Bodies UP||Nagar Panchayat Khamariya Santravidas Nagar,521/NPKHAMARIA,2019_DOLBU_417121_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NOTICE,30-Dec-2019 09:00 AM,13-Jan-2020 12:00 PM,30-Dec-2019 09:00 AM,10-Jan-2020 03:00 PM,NA ,NA ,30-Dec-2019 09:00 AM,10-Jan-2020 03:00 PM,21-Jan-2020 04:55 PM,"1,41,400",No,fixed,,EXCUTIVE OFFICER,NAGAR PANCHAYAT KHAMARIA,1.0,DD - Demand Draft,"1,500",EXCUTIVE OFFICER,NAGAR PANCHAYAT KHAMARIA,No,EXCUTIVE OFFICER,NAGAR PANCHAYAT KHAMARIA,WARD NO-3 MUKHYA BAZAR ME AZAD TENT HOUSE SE NAND LAL TAK UNDERGROUND NALI AND INTERLAKING KA NIRMAN KARYA,WARD NO-3 MUKHYA BAZAR ME AZAD TENT HOUSE SE NAND LAL TAK UNDERGROUND NALI AND INTERLAKING KA NIRMAN KARYA,Please refer Tender documents. ,NA ,"14,14,000",Civil Works,NA ,Tender,10.0,90.0,WORKS,221306.0,NAGAR PANCHAYAT KHAMARIA ,NAGAR PANCHAYAT KHAMARIA ,30-Dec-2019 09:00 AM ,NAGAR PANCHAYAT KHAMARIA,No ,No,Directorate of Local Bodies UP||Nagar Panchayat Khamariya Santravidas Nagar,521/NPKHAMARIA,2019_DOLBU_417121_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NOTICE,30-Dec-2019 09:00 AM,13-Jan-2020 12:00 PM,30-Dec-2019 09:00 AM,10-Jan-2020 03:00 PM,NA ,NA ,30-Dec-2019 09:00 AM,10-Jan-2020 03:00 PM,21-Jan-2020 04:55 PM,"1,41,400",No,fixed,,EXCUTIVE OFFICER,NAGAR PANCHAYAT KHAMARIA,1.0,DD - Demand Draft,"1,500",EXCUTIVE OFFICER,NAGAR PANCHAYAT KHAMARIA,No,EXCUTIVE OFFICER,NAGAR PANCHAYAT KHAMARIA,WARD NO-3 MUKHYA BAZAR ME AZAD TENT HOUSE SE NAND LAL TAK UNDERGROUND NALI AND INTERLAKING KA NIRMAN KARYA,WARD NO-3 MUKHYA BAZAR ME AZAD TENT HOUSE SE NAND LAL TAK UNDERGROUND NALI AND INTERLAKING KA NIRMAN KARYA,Please refer Tender documents. ,NA ,"14,14,000",Civil Works,NA ,Tender,10.0,90.0,WORKS,221306.0,NAGAR PANCHAYAT KHAMARIA ,NAGAR PANCHAYAT KHAMARIA ,30-Dec-2019 09:00 AM ,NAGAR PANCHAYAT KHAMARIA,No ,No,20-Mar-2020,"INR 1,413,508.52",90.0,Vijay Kumar Yadav,20-Mar-2020 02:17 PM,RE.pdf (1137.00 KB),1.0,1541556.0,SHRI BALAJI CONSTRUCTION,INR,"1,307,495.38",1.0,1540923.0,ANKIT CONSTRUCTION,09-Jan-2020 11:51 PM,Rejected-Finance,SECOND LOWEST,20-Mar-2020 02:16 PM,Finance,FINANCIAL BIDS COMPLETE,Vijay Kumar Yadav,20-Mar-2020 02:11 PM,finance_609538.pdf,BOQ Comparative Chart,EXCUTIVE OFFICER,Internal,,Vijay Kumar Yadav,20-Mar-2020 02:16 PM,finsummary_609538.pdf (1136.63 KB),1.0,1540898.0,S R CONSTRUCTION,"14,27,643.61",L3,Technical,TECHNICAL BIDS COMPLETE,Shyam Bahadur Patel,21-Jan-2020 04:51 PM,technical_609538.pdf,EXCUTICE OFFICER,Internal,,Shyam Bahadur Patel,21-Jan-2020 04:54 PM,21-Jan-2020 04:55 PM,techsummary_609538.pdf (378.38 KB),,,
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1541556.0,SHRI BALAJI CONSTRUCTION,10-Jan-2020 02:09 PM,Accepted-AOC,FIRST LOWEST,20-Mar-2020 02:17 PM,,,,,,,,,,,,,2.0,1540923.0,ANKIT CONSTRUCTION,"13,92,305.89",L2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1540898.0,S R CONSTRUCTION,09-Jan-2020 11:24 PM,Rejected-Finance,THIRD LOWEST,20-Mar-2020 02:16 PM,,,,,,,,,,,,,3.0,1541556.0,SHRI BALAJI CONSTRUCTION,"13,07,49,538.00",L1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_DOLBU_417121_1,521/NPKHAMARIA,WARD NO-3 MUKHYA BAZAR ME AZAD TENT HOUSE SE NAND LAL TAK UNDERGROUND NALI AND INTERLAKING KA NIRMAN KARYA
