Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
14-May-2026,"INR 2,073,766",90.0,Abhishek Rai,21-May-2026 02:31 PM,bpdf.pdf (153.00 KB),Technical,Opend,Abhishek Rai,17-Mar-2026 10:49 AM,,Executive Engineer,Internal,,Suresh Kumar Jaiswal,19-Mar-2026 03:25 PM,19-Mar-2026 04:00 PM,techsummary_2087559.pdf (453.44 KB),Finance,Opend,Abhishek Rai,19-Mar-2026 08:20 PM,,BOQ Comparative Chart,Executive Engineer,Internal,,Abhishek Rai,20-Mar-2026 01:32 PM,finsummary_2087559.pdf (152.96 KB),1.0,5970914.0,M/S Avanish Traders,INR,"2,073,766",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,2026_REDUP_1121779_10,2900/EE/RED/GKP/25-26 Date 07-02-26,Block-SardarNagar Gram Panchayat Awadhpur mein Sunil Nishad ke Ghar se Surjeet Nishad ke Ghar Tak CC Road Ka Nirman,1,5970914,M/S Avanish Traders,13-Mar-2026 05:01 PM,Accepted-AOC,L1,21-May-2026 02:32 PM,AOC,"41,500",No,percentage,2.0%,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Technical,1.0,SBI Bank,Block-SardarNagar Gram Panchayat Awadhpur mein Sunil Nishad ke Ghar se Surjeet Nishad ke Ghar Tak CC Road Ka Nirman,Block-SardarNagar Gram Panchayat Awadhpur mein Sunil Nishad ke Ghar se Surjeet Nishad ke Ghar Tak CC Road Ka Nirman,Please refer Tender documents. ,NA ,"20,75,000",Civil Works,NA ,Tender,90.0,90.0,GORAKHPUR,273001.0,NA ,NA ,NA ,Vikash Bhawan Gorakhpur,No ,No,EXECUTIVE ENGINEER,Vikash Bhawan,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,2900/EE/RED/GKP/25-26 Date 07-02-26,2026_REDUP_1121779_10,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,08-Mar-2026 09:00 AM,16-Mar-2026 09:00 AM,08-Mar-2026 09:00 AM,15-Mar-2026 12:00 PM,NA ,NA ,08-Mar-2026 09:00 AM,15-Mar-2026 12:00 PM,19-Mar-2026 04:00 PM,896.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5970952,M/S TIJA ENTERPRISES,13-Mar-2026 05:22 PM,Rejected-AOC,L2,21-May-2026 02:32 PM,AOC,,,,,,,2,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
