Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
SE,SE Flood Circle Lakhimpur Kheri,Anti-Erosion work to Protect village-Majha Sumali along L/B of river Ghaghra in Distt. Lakhimpur-Kheri.,Anti-Erosion work to Protect village-Majha Sumali along L/B of river Ghaghra in Distt. Lakhimpur-Kheri.,Please refer Tender documents. ,NA ,"4,37,45,000",Civil Works,NA ,Tender,90.0,90.0,Lakhimpur Kheri,262701.0,Lakhimpur ,SE Flood Circle Lakhimpur Kheri ,10-Mar-2026 01:00 PM ,SE Flood Circle Lakhimpur Kheri,No ,No,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||Flood Circle, Lakhimpur Khiri",03/SE/2025-26,2026_UPIDC_1122699_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical,09-Mar-2026 09:00 AM,16-Mar-2026 04:00 PM,09-Mar-2026 09:15 AM,16-Mar-2026 02:00 PM,NA ,NA ,09-Mar-2026 11:00 AM,16-Mar-2026 02:00 PM,24-Mar-2026 09:00 AM,1.0,SBI Bank,"8,75,000",No,fixed,,Nil,Nil,"2,715",Nil,Nil,No,AOC,Anil Kumar Niranjan,Internal,Om Prakash Verma,Anil Kumar Niranjan,21-Mar-2026 06:56 PM,24-Mar-2026 09:00 AM,techsummary_2090934.pdf (322.06 KB),Finance,Financial Evaluation,Anil Kumar Niranjan,25-Mar-2026 01:06 PM,,BOQ Comparative Chart,Anil Kumar Niranjan,Internal,om prakash verma,Anil Kumar Niranjan,25-Mar-2026 10:16 PM,finsummary_2090934.pdf (292.64 KB),Technical,Technical Evaluation,Anil Kumar Niranjan,16-Mar-2026 06:48 PM,,1,5976035,DHARAM DEV CHAUHAN,15-Mar-2026 11:17 PM,Rejected-Finance,L4,25-Mar-2026 10:16 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||Flood Circle, Lakhimpur Khiri",2026_UPIDC_1122699_4,03/SE/2025-26,Anti-Erosion work to Protect village-Majha Sumali along L/B of river Ghaghra in Distt. Lakhimpur-Kheri.,1.0,5971209.0,GSB DEVELOPERS PRIVATE LIMITED,INR,"27,231,770",02-Apr-2026,"INR 27,231,770",90.0,Anil Kumar Niranjan,23-Apr-2026 01:41 PM,Lot4gsbmanjhasumali.pdf (470.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5971209,GSB DEVELOPERS PRIVATE LIMITED,13-Mar-2026 09:19 PM,Accepted-AOC,Accepetd,23-Apr-2026 01:42 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5974068,LAXMINARAIN INFRABUILD PRIVATE LIMITED,16-Mar-2026 12:43 PM,Rejected-Finance,L3,25-Mar-2026 10:16 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,5975769,M/S ALLIANCE CONSTRUCTIONS,16-Mar-2026 01:55 PM,Rejected-Finance,L7,25-Mar-2026 10:16 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,5977565,M/S LODHI ENTERPRISES,16-Mar-2026 11:58 AM,Rejected-Finance,L5,25-Mar-2026 10:16 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,5977647,M/S MAHALAXMI TRADERS,16-Mar-2026 01:50 PM,Rejected-Technical,Reject,21-Mar-2026 06:56 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,5975632,MS ROAD LINES INDIA PVT LTD,15-Mar-2026 09:39 PM,Rejected-Finance,L6,25-Mar-2026 10:16 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,5977652,RAM NARAYAN YADAV,16-Mar-2026 12:25 PM,Rejected-Finance,L2,25-Mar-2026 10:16 PM,,,,,,,,,,,,,,,,,AOC
