Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Category,Sub Category,Sub Category Description,Format/File,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
25-Apr-2026,"INR 1,070,524",30.0,GYANENDRA MANI TRIPATHI,19-Apr-2026 12:39 PM,aoc66lot1.pdf (526.00 KB),PLEASE VISIT OFFICE TO COMPLETE AGREEMENT FORMALITIES,1.0,6048778.0,M/s Jai Contraction,15-Apr-2026 01:01 PM,Rejected-Finance,LOWER RATE QUOTED,19-Apr-2026 11:00 AM,1.0,6047424.0,Singh Contractor,INR,"1,070,524",U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Kanpur||Executive Engineer(MLCD)-Kanpur,2026_UPIDM_1134757_1,66/EE/MLCD/KNP/KODA/25-26,Fabrication of MS REDUCER,Finance,financial opened.,GYANENDRA MANI TRIPATHI,19-Apr-2026 10:40 AM,finance_2119085.pdf,BOQ Comparative Chart,GYANENDRA MANI TRIPATHI,Internal,"EE MLCD KANPUR,EE TCD KANPUR,DIVISIONAL ACCOUNTANT MLCD KANPUR",GYANENDRA MANI TRIPATHI,17-Apr-2026 04:44 PM,17-Apr-2026 05:00 PM,techsummary_2119085.pdf (445.22 KB),Technical,technical bid opened,GYANENDRA MANI TRIPATHI,17-Apr-2026 04:24 PM,technical_2119085.pdf,GYANENDRA MANI TRIPATHI,Internal,"EE MLCD KANPUR,EE TCD KANPUR,DIVISIONAL ACCOUNTANT MLCD KANPUR",GYANENDRA MANI TRIPATHI,19-Apr-2026 11:00 AM,finsummary_2119085.pdf (445.22 KB),AOC,1,BIS /Mfg lic /Dealership ,BIS registration for the items specified as ISI marked ,BIS registration for the items specified as ISI marked ,,354.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,NIT,1.0,SBI Bank,"18,500",Yes,fixed,,Nil,Nil,09-Apr-2026 02:00 PM,16-Apr-2026 11:00 AM,09-Apr-2026 02:00 PM,16-Apr-2026 10:00 AM,09-Apr-2026 02:00 PM ,15-Apr-2026 02:00 PM ,09-Apr-2026 02:00 PM,16-Apr-2026 10:00 AM,17-Apr-2026 05:00 PM,Fabrication of MS REDUCER,Fabrication of MS REDUCER,AS PER NIT ,NA ,"9,21,040",Iron/Steel Materials,NA ,Tender,90.0,30.0,"KODA PUMP CANAL,FATEHPUR",212601.0,NA ,NA ,NA ,OFFICE OF EXECUTIVE ENGINEER MLCD KANPUR,No ,No,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Kanpur||Executive Engineer(MLCD)-Kanpur,66/EE/MLCD/KNP/KODA/25-26,2026_UPIDM_1134757_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EXECUTIVE ENGINEER MLCD KANPUR,OFFICE OF EXECUTIVE ENGINEER MLCD KANPUR,AOC
,,,,,,,2.0,6049136.0,OM CONTRACTOR,15-Apr-2026 02:23 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,17-Apr-2026 04:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,BIS /Mfg lic /Dealership ,Dealership certificate of manufacturer for the items Where Dealers are eligible to Bid ,Dealership certificate of manufacturer for the items Where Dealers are eligible to Bid ,,,,,,2.0,Finance,.xls,FINANCIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,3.0,6047424.0,Singh Contractor,15-Apr-2026 11:57 AM,Accepted-AOC,LOWEST RATE QUOTED,19-Apr-2026 12:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,DNIT Documents ,DNIT ,Digitally Signed Terms Condition and Specfication ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,Experience/ mfg. capacity ,Documents on manufacturing capacity of the unit ,Documents on manufacturing capacity of the unit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,Experience/ mfg. capacity ,Performance Certificates of the Supplied Items/Works/Services for previous years ,Performance Certificates of the Supplied Items/Works/Services for previous years ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,Local SSI documents ,Registration of Industry Department for local SSI unit to manufacture the tendered item if required. ,Registration of Industry Department for local SSI unit to manufacture the tendered item if required. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,Misc. document ,Power of attorney in favour of local agent mandatory. ,Power of attorney in favour of local agent mandatory. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,Misc. document ,Bidder Address Format ,Bidder Address Format ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,12,Misc. document ,Any other document ,Any other document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,13,Tax related documents ,PAN card ,PAN card ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,14,Technical Details ,Firms capability and capacity ,Firms capability and capacity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,15,Technical Details ,Detailed testing facilities ,Detailed testing facilities ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,16,Technical Details ,Technical particulars ,Guaranteed and other technical particulars of the items ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,17,Technical Details ,Detailed design of the item ,Detailed design of the item ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,18,Technical Details ,Other Technical Documents ,Other Technical Documents ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,19,Technical Details ,Drawings/Catalogues etc. ,Drawings/Catalogues etc. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
